device,memory,internal_storage,os_price,dual_sim,esim,memory_slot,5g,nfc,body_length,body_width,body_thickness,weight,battery,display_type,display_size,display_res,refesh_rate,display_hdr
Apple iPhone 13,4,128,15200,TRUE,TRUE,FALSE,TRUE,TRUE,146.7,71.5,7.7,174,3240,OLED,6.1,1170,60,TRUE
Apple iPhone 13,4,512,19500,TRUE,TRUE,FALSE,TRUE,TRUE,146.7,71.5,7.7,174,3240,OLED,6.1,1170,60,TRUE
Apple iPhone 14,6,128,16000,TRUE,TRUE,FALSE,TRUE,TRUE,146.7,71.5,7.8,172,3279,OLED,6.1,1170,60,TRUE
Apple iPhone 14,6,256,19000,TRUE,TRUE,FALSE,TRUE,TRUE,146.7,71.5,7.8,172,3279,OLED,6.1,1170,60,TRUE
Apple iPhone 14,6,512,23000,TRUE,TRUE,FALSE,TRUE,TRUE,146.7,71.5,7.8,172,3279,OLED,6.1,1170,60,TRUE
Apple iPhone 14 Plus,6,128,18000,TRUE,TRUE,FALSE,TRUE,TRUE,160.8,78.1,7.8,203,4323,OLED,6.7,1284,60,TRUE
Apple iPhone 14 Plus,6,256,21000,TRUE,TRUE,FALSE,TRUE,TRUE,160.8,78.1,7.8,203,4323,OLED,6.7,1284,60,TRUE
Apple iPhone 14 Plus,6,512,25000,TRUE,TRUE,FALSE,TRUE,TRUE,160.8,78.1,7.8,203,4323,OLED,6.7,1284,60,TRUE
Apple iPhone 14 Pro,6,1024,31000,TRUE,TRUE,FALSE,TRUE,TRUE,147.5,71.5,7.9,206,3200,OLED,6.1,1179,120,TRUE
Apple iPhone SE 2022,4,128,9500,FALSE,TRUE,FALSE,TRUE,TRUE,138.4,67.3,7.3,144,2018,IPS,4.7,750,60,FALSE
Apple iPhone SE 2022,4,64,8000,FALSE,TRUE,FALSE,TRUE,TRUE,138.4,67.3,7.3,144,2018,IPS,4.7,750,60,FALSE
Asus ROG Phone 5s Pro,18,512,17000,TRUE,FALSE,FALSE,TRUE,TRUE,172.8,77.3,9.9,238,6000,OLED,6.78,1080,144,TRUE
Asus ROG Phone 5s Pro,12,256,12000,TRUE,FALSE,FALSE,TRUE,TRUE,172.8,77.3,9.9,238,6000,OLED,6.78,1080,144,TRUE
Asus ROG Phone 5s Pro,8,128,7500,TRUE,FALSE,FALSE,TRUE,TRUE,172.8,77.3,9.9,238,6000,OLED,6.78,1080,144,TRUE
Asus ROG Phone 6,8,256,11000,TRUE,FALSE,FALSE,TRUE,TRUE,173,77,10.3,239,6000,OLED,6.78,1080,165,TRUE
Asus ROG Phone 6 Pro,18,512,19000,TRUE,TRUE,FALSE,TRUE,TRUE,173,77,10.3,239,6000,OLED,6.78,1080,165,TRUE
Asus Zenfone 9,6,128,8000,TRUE,FALSE,FALSE,TRUE,TRUE,146.5,68.1,9.1,169,4300,OLED,5.9,1080,120,TRUE
HUAWEI Nova 9,8,256,6000,TRUE,FALSE,FALSE,FALSE,TRUE,160,73.7,7.8,175,4300,OLED,6.57,1080,120,TRUE
HUAWEI P50 Pro,8,256,13000,TRUE,FALSE,TRUE,FALSE,TRUE,158.8,72.8,8.5,195,4360,OLED,6.6,1228,120,FALSE
